,Rent,Occupancy,Attached BathRoom,AB,TV,AC,CUPBOARD,BEDDING,GEASER
150,8000,3,0,0,0,0,0,0,0
151,8500,2,0,0,0,0,0,0,0
152,8000,3,0,0,0,0,0,0,0
153,7000,2,0,1,0,0,1,1,0
154,7000,3,0,1,0,0,1,1,0
155,10000,1,0,0,0,0,0,0,0
156,8000,2,0,0,0,0,0,0,0
157,7000,3,0,0,0,0,0,0,0
158,6500,4,0,0,0,0,0,0,0
159,7000,2,0,0,0,0,0,0,0
160,7500,2,0,0,0,0,0,0,0
161,6500,3,0,0,0,0,0,0,0
162,7500,2,0,0,0,0,0,0,0
163,7000,3,0,0,0,0,0,0,0
164,7000,2,0,0,0,0,0,0,0
165,7500,2,0,0,0,0,0,0,0
166,6500,3,0,0,0,0,0,0,0
167,15000,2,0,0,0,0,0,0,0
168,12000,3,0,0,0,0,0,0,0
169,15000,2,0,0,0,0,0,0,0
170,12000,3,0,0,0,0,0,0,0
171,4000,1,0,1,0,0,1,1,0
172,4000,2,0,1,0,0,1,1,0
173,4000,3,0,1,0,0,1,1,0
174,4000,4,0,1,0,0,1,1,0
175,7500,2,0,0,0,0,0,0,0
176,6500,3,0,0,0,0,0,0,0
177,9000,2,0,1,0,1,1,1,1
178,7500,3,0,1,0,1,1,1,1
179,8000,1,0,0,0,0,0,0,1
180,7000,2,0,0,0,0,0,0,0
181,6000,3,0,0,0,1,0,1,1
182,0,1,0,0,0,0,0,0,0
183,9000,2,1,1,1,1,1,1,0
184,7000,3,1,1,1,1,1,1,0
185,8000,2,0,0,0,0,0,0,0
186,7000,3,0,0,0,0,0,0,0
187,15000,1,1,1,1,0,1,0,1
188,9500,2,0,0,0,0,0,0,0
189,9000,3,0,0,0,0,0,0,0
190,8000,1,0,0,0,0,0,0,0
191,7000,2,0,0,0,0,0,0,0
192,8000,1,0,0,0,0,0,0,0
193,7000,2,0,0,0,0,0,0,0
194,8500,1,0,0,0,0,1,1,0
195,7500,2,0,1,0,0,1,1,0
196,7000,4,0,0,0,0,1,1,0
197,0,2,0,0,0,0,0,0,0
198,7500,3,1,1,0,0,1,1,1
199,7500,1,0,0,0,0,0,0,0
200,6500,2,0,0,0,0,0,0,0
201,8000,2,0,0,0,0,0,0,0
202,7500,3,0,0,0,0,0,0,0
203,10000,1,1,1,1,0,0,1,1
204,7000,2,1,1,1,0,0,1,1
205,6000,3,1,1,1,0,0,1,1
206,5000,4,1,1,1,0,0,1,0
207,10000,1,0,0,0,0,0,0,0
208,8000,2,0,0,0,0,0,0,0
209,7500,2,0,0,0,0,0,0,0
210,7000,3,0,0,0,0,0,0,0
211,6500,4,0,0,0,0,1,1,0
